mdf,ngram,features,fscore
70.0,3.0,1700.0,0.2325581395348837
80.0,1.0,1700.0,0.19999999999999998
80.0,2.0,1700.0,0.25287356321839083
80.0,3.0,1700.0,0.25287356321839083
90.0,1.0,1700.0,0.22093023255813954
90.0,2.0,1700.0,0.2235294117647059
90.0,3.0,1700.0,0.22093023255813954
100.0,1.0,1700.0,0.20238095238095236
100.0,2.0,1700.0,0.22093023255813954
100.0,3.0,1700.0,0.22093023255813954
1.0,1.0,1800.0,0.39800995024875624
1.0,2.0,1800.0,0.4210526315789474
1.0,3.0,1800.0,0.44878048780487806
5.0,1.0,1800.0,0.417910447761194
5.0,2.0,1800.0,0.43137254901960786
5.0,3.0,1800.0,0.43137254901960786
10.0,1.0,1800.0,0.4411764705882353
10.0,2.0,1800.0,0.47393364928909953
10.0,3.0,1800.0,0.47619047619047616
20.0,1.0,1800.0,0.3333333333333333
20.0,2.0,1800.0,0.3529411764705882
20.0,3.0,1800.0,0.3529411764705882
30.0,1.0,1800.0,0.2857142857142857
30.0,2.0,1800.0,0.3060109289617486
30.0,3.0,1800.0,0.30434782608695654
40.0,1.0,1800.0,0.2543352601156069
40.0,2.0,1800.0,0.27272727272727276
40.0,3.0,1800.0,0.2905027932960894
50.0,1.0,1800.0,0.20481927710843373
50.0,2.0,1800.0,0.24561403508771928
50.0,3.0,1800.0,0.25287356321839083
60.0,1.0,1800.0,0.20481927710843373
60.0,2.0,1800.0,0.20359281437125748
60.0,3.0,1800.0,0.2222222222222222
70.0,1.0,1800.0,0.20118343195266272
70.0,2.0,1800.0,0.2325581395348837
70.0,3.0,1800.0,0.2222222222222222
80.0,1.0,1800.0,0.19999999999999998
80.0,2.0,1800.0,0.25287356321839083
80.0,3.0,1800.0,0.25287356321839083
90.0,1.0,1800.0,0.2235294117647059
90.0,2.0,1800.0,0.22093023255813954
90.0,3.0,1800.0,0.2235294117647059
100.0,1.0,1800.0,0.22093023255813954
100.0,2.0,1800.0,0.22093023255813954
